merge1,partition_sort,qs1,qs2,qs3,qs4,qs5
0.09037137031555176,0.0620419979095459,0.04976367950439453,0.08430767059326172,0.08220458030700684,0.07484817504882812,0.07311558723449707
0.09142446517944336,0.06501245498657227,0.04760479927062988,0.08590054512023926,0.09328198432922363,0.07877707481384277,0.07039594650268555
0.09476566314697266,0.06269955635070801,0.05353999137878418,0.09078359603881836,0.08862543106079102,0.07246518135070801,0.07374930381774902
0.09412479400634766,0.06380367279052734,0.04867911338806152,0.0867307186126709,0.08811783790588379,0.07263517379760742,0.07288312911987305
0.0923922061920166,0.0641329288482666,0.049161434173583984,0.08721685409545898,0.09069705009460449,0.07906675338745117,0.07757568359375
0.10196876525878906,0.06985116004943848,0.04900979995727539,0.08324527740478516,0.09099698066711426,0.08301210403442383,0.08365845680236816
0.09501862525939941,0.06570029258728027,0.05140566825866699,0.08887910842895508,0.08284950256347656,0.07125425338745117,0.07358312606811523
0.0943751335144043,0.06388592720031738,0.050235748291015625,0.10594797134399414,0.08366775512695312,0.0744621753692627,0.07391166687011719
0.0940706729888916,0.06237649917602539,0.05009055137634277,0.08950686454772949,0.08579421043395996,0.08100271224975586,0.07547378540039062
0.09551048278808594,0.06450653076171875,0.04785490036010742,0.08752059936523438,0.08817267417907715,0.07225775718688965,0.07337188720703125
0.09233450889587402,0.0643773078918457,0.04987168312072754,0.08588266372680664,0.08548760414123535,0.07330822944641113,0.07457494735717773
0.09323310852050781,0.06275796890258789,0.05054330825805664,0.09037303924560547,0.0929098129272461,0.08079385757446289,0.07625222206115723
0.09146261215209961,0.0633077621459961,0.04935622215270996,0.08639264106750488,0.08931946754455566,0.08074450492858887,0.07401156425476074
0.09194016456604004,0.06328177452087402,0.04933023452758789,0.08629035949707031,0.08142948150634766,0.08164167404174805,0.07410359382629395
0.09309601783752441,0.06420636177062988,0.04777693748474121,0.08586454391479492,0.08759665489196777,0.07239460945129395,0.0756072998046875
0.09860444068908691,0.06255149841308594,0.04918098449707031,0.08441638946533203,0.08464384078979492,0.07436466217041016,0.0802614688873291
0.0948336124420166,0.06702184677124023,0.04893374443054199,0.0835268497467041,0.08221650123596191,0.08133316040039062,0.0744624137878418
0.0918731689453125,0.06458735466003418,0.049460649490356445,0.08439397811889648,0.08763766288757324,0.07376551628112793,0.07883882522583008
0.09398818016052246,0.06496787071228027,0.04988574981689453,0.08818364143371582,0.08860611915588379,0.07653307914733887,0.07283473014831543
0.0930330753326416,0.06339716911315918,0.048993587493896484,0.08701276779174805,0.08639383316040039,0.07577252388000488,0.07781124114990234
0.09543299674987793,0.06558799743652344,0.04841780662536621,0.08801698684692383,0.08153486251831055,0.07278966903686523,0.07389426231384277
0.09273767471313477,0.06363916397094727,0.04952096939086914,0.08531951904296875,0.08095479011535645,0.08255195617675781,0.07293152809143066
0.09250617027282715,0.06299400329589844,0.048356056213378906,0.08241653442382812,0.0857553482055664,0.0704195499420166,0.0746307373046875
0.09211039543151855,0.06283831596374512,0.047554969787597656,0.08515048027038574,0.08473587036132812,0.0699617862701416,0.0737769603729248
0.09232091903686523,0.06379437446594238,0.04861283302307129,0.0836024284362793,0.08473324775695801,0.07240557670593262,0.07248210906982422
0.09542226791381836,0.06853723526000977,0.04866600036621094,0.08791208267211914,0.08849501609802246,0.0786905288696289,0.0762944221496582
0.10274624824523926,0.06572151184082031,0.050628662109375,0.09070563316345215,0.08681941032409668,0.0745844841003418,0.07709002494812012
0.09311294555664062,0.06426405906677246,0.050199270248413086,0.08238482475280762,0.08185172080993652,0.07207822799682617,0.07585692405700684
0.09538960456848145,0.06454348564147949,0.05021500587463379,0.08958101272583008,0.08624505996704102,0.07333827018737793,0.07263469696044922
